start	end	text
0	7120	Ich werde alle Wallets Hapest haben. Ich werde einfach das sind jetzt insgesamt
7120	13580	Buyback, Treasury und Death Wallets. Das ist doch oder? Auf die Treasury kommt
13580	17160	halt das Geld, was wir einfach als Revenue beibehalten.
17160	22680	Buyback wird so weit, das kommt automatisch geswobbt und Death Wallet wird die Feast
22680	26840	bekommen, die Creator Feast. Wir kriegen ja durch Klankerlaunches. Ich glaube, ich
26840	31840	noch nicht sicher, wir werden 1% Taxhauf panken, weil dadurch kriegen wir 1% Feast durchgehend
31840	33840	von dem Volumen.
33840	41280	So, ich würde Death Wallet, also ich würde bei 1, 3 Wallets jeweils 2 Wallets machen,
41280	45520	halt bei Multisick, dass man 2 Wallets gleichzeitig bestätigen muss. Ich werde alle 6 Wallets
45520	49960	verwalten. Aber wie es seine, ich gleichzeitig 6 Wallets, kann ich jetzt einfach bei Phantom
49960	56120	Wallet, zum Beispiel 6 Wallets erstellen und dann gebe ich dir alle 6, die Private
56120	59720	Keys oder wie soll das laufen, weil es könnte ja sagen, dass du auch einen Datenleak
59720	63560	hitch hast und du vielleicht die Private Keys und wo else du sie machen könntest. Mach
63560	70160	das nicht, sind das. Ich stand komplett diese Walletzerweite und die Buyback-Geschichte
70160	75040	kannst du das so einstellen, dass so weit was reinkommt, er immer mit jedem Gate automatisch
75040	83160	inkt, kauft mit dem Gate, alles was in die Buyback Wallet reinkommt, kauft er durchgehend
83160	87760	irgendeinfach mit jeder Summe. Kannst du das machen? So dass man nur, wenn Gate wirklich
87760	95480	raus transferiert wird oder ein anderer Token außer inkt selbst gekauft wird, soll man
95480	101280	braucht man Multisick Bestätigung. Verschiss so, weil so wird immer nur, es soll kein Gate
101280	105240	daraus gehen können oder keine Token rausgehen können. Das einzige, was diese Wallet ohne
105240	110320	Multisick machen darf, ist inkt kaufen. Er darf nicht inkt verkaufen, er darf nicht
110320	115400	inkt von der Walletranslerin, er darf nur inkt kauft von Game Gate was reinkommt die
115400	119400	ganze Zeit und das soll automatisiert machen, geht das und die anderen Wallets können nur Gate
119400	124320	empfangen und immer wenn der Gate rausgehen soll, so braucht er halt die zwei Multisick. Mach das
